sample_id,profile,ffmpeg_extract_seconds,model_load_seconds,initial_asr_seconds,retry_seconds,resegment_seconds,pipeline_seconds,end_to_end_seconds,word_timing_count,input_cue_count,output_cue_count,planned_windows,executed_windows,accepted_windows,budget_skipped_windows
sample-01,speed,0.384462,1.811518,12.383058,0.000006,0.000020,12.383084,16.801466,0,38,38,0,0,0,0
sample-02,speed,0.259612,1.998078,11.330167,0.000003,0.000015,11.330185,15.019579,0,100,100,0,0,0,0
sample-03,speed,0.270312,1.964603,7.470572,0.000003,0.000013,7.470588,11.170401,0,48,48,0,0,0,0
sample-01,balanced,0.289749,1.711680,11.009380,1.405905,0.029961,12.445246,16.686798,739,48,57,4,1,0,3
sample-02,balanced,0.260149,1.708637,11.309541,0.000522,0.018085,11.328148,14.855454,981,105,103,0,0,0,0
sample-03,balanced,0.258705,1.962062,7.476514,0.000368,0.017059,7.493941,11.060574,660,48,59,0,0,0,0
sample-01,large-control,0.270398,4.670224,32.708010,0.000030,0.018051,32.726091,38.898379,762,66,86,0,0,0,0
sample-02,large-control,0.283769,4.258641,34.594844,0.000003,0.015393,34.610240,40.557055,995,116,113,0,0,0,0
sample-03,large-control,0.311781,4.495069,67.036927,0.000008,0.014173,67.051108,73.129542,749,49,71,0,0,0,0
sample-01,quality,0.284213,4.448516,29.970499,0.701395,0.014307,30.686201,37.038620,762,66,86,1,1,0,0
sample-02,quality,0.313004,4.653094,35.644096,0.000701,0.015655,35.660452,41.954311,995,116,113,0,0,0,0
sample-03,quality,0.291488,4.251288,52.881643,0.000400,0.015914,52.897957,58.703161,733,49,68,0,0,0,0
