sample_id,source_group_id,reference_type,profile,cue_count,gap_seconds,over_20_cps_count,over_42_character_line_count,end_to_end_seconds
sample-01,film-01,ocr_weak,speed,36,0.12,2,28,9.551692
sample-01,film-01,ocr_weak,balanced,35,7.42,11,18,7.650464
sample-01,film-01,ocr_weak,large-control,34,3.5,10,19,25.626808
sample-01,film-01,ocr_weak,quality,34,3.5,10,19,23.165899
sample-02,film-01,ocr_weak,speed,49,0.8,7,20,9.573188
sample-02,film-01,ocr_weak,balanced,51,12.06,21,14,8.837841
sample-02,film-01,ocr_weak,large-control,46,11.36,18,15,23.186094
sample-02,film-01,ocr_weak,quality,46,11.36,18,15,20.714915
sample-03,film-02,ocr_weak,speed,10,4,0,10,10.053613
sample-03,film-02,ocr_weak,balanced,24,2.5,3,17,5.888617
sample-03,film-02,ocr_weak,large-control,37,21.82,8,12,23.507967
sample-03,film-02,ocr_weak,quality,37,21.82,8,12,23.300597
sample-04,film-02,ocr_weak,speed,28,25.25,6,25,7.046685
sample-04,film-02,ocr_weak,balanced,38,20.21,15,13,7.111464
sample-04,film-02,ocr_weak,large-control,42,19.89,15,12,22.221435
sample-04,film-02,ocr_weak,quality,42,19.89,15,12,22.707966
sample-05,film-03,ocr_weak,speed,20,0,0,19,5.888336
sample-05,film-03,ocr_weak,balanced,27,22.58,5,16,5.86507
sample-05,film-03,ocr_weak,large-control,19,7.72,0,18,27.95426
sample-05,film-03,ocr_weak,quality,20,6.94,0,18,47.375044
sample-06,film-03,ocr_weak,speed,16,1,0,15,6.500348
sample-06,film-03,ocr_weak,balanced,22,20.62,1,17,5.903955
sample-06,film-03,ocr_weak,large-control,22,17.7,0,16,49.112154
sample-06,film-03,ocr_weak,quality,22,17.7,0,16,50.633864
